ADATE,Year,Month,Day,Anamolytype,Anamoly,Date_x,Kp,ap,Date_y
1988-12-31,1988,12,31,ESD,1,1988-12-31,2.541625,11.5,1988-12-31
1989-01-12,1989,1,12,UNK,1,1989-01-12,2.916625,19.875,1989-01-12
1989-01-24,1989,1,24,ESD,1,1989-01-24,2.458375,10.375,1989-01-24
1989-01-25,1989,1,25,ESD,1,1989-01-25,2.66675,12.25,1989-01-25
1989-01-26,1989,1,26,UNK,1,1989-01-26,2.416625,10.25,1989-01-26
1989-02-10,1989,2,10,SDC,1,1989-02-10,2.25,11.75,1989-02-10
1989-02-15,1989,2,15,SDC,1,1989-02-15,2.541625,13.875,1989-02-15
1989-02-21,1989,2,21,UNK,1,1989-02-21,2.375,10.75,1989-02-21
1989-03-04,1989,3,4,SDC,1,1989-03-04,2.4998750000000003,13.25,1989-03-04
1989-03-08,1989,3,8,SDC,1,1989-03-08,2.95825,23.75,1989-03-08
1989-03-11,1989,3,11,SDC,1,1989-03-11,3.125125,16.625,1989-03-11
1989-03-16,1989,3,16,SDC,1,1989-03-16,4.75,49.5,1989-03-16
1989-04-04,1989,4,4,UNK,1,1989-04-04,4.875,45.625,1989-04-04
1989-04-12,1989,4,12,UNK,1,1989-04-12,1.7501250000000002,6.25,1989-04-12
1982-08-26,1982,8,26,UNK,1,1982-08-26,3.375,20.375,1982-08-26
1982-09-24,1982,9,24,UNK,1,1982-09-24,3.500125,21.75,1982-09-24
1983-03-27,1983,3,27,UNK,1,1983-03-27,0.791625,3.25,1983-03-27
1983-08-19,1983,8,19,ESD,1,1983-08-19,1.833125,9.25,1983-08-19
1984-01-06,1984,1,6,ESD,1,1984-01-06,2.8748750000000003,13.875,1984-01-06
1984-03-14,1984,3,14,UNK,1,1984-03-14,1.583125,6.125,1984-03-14
1984-04-16,1984,4,16,UNK,1,1984-04-16,1.125,4.375,1984-04-16
1985-04-20,1985,4,20,ESD,1,1985-04-20,4.708375,53.375,1985-04-20
1985-08-30,1985,8,30,UNK,1,1985-08-30,2.125,10.5,1985-08-30
1986-09-30,1986,9,30,ESD,1,1986-09-30,1.333125,5.25,1986-09-30
1988-03-31,1988,3,31,UNK,1,1988-03-31,2.5415,11.375,1988-03-31
1984-11-27,1984,11,27,UNK,1,1984-11-27,1.66675,6.75,1984-11-27
1986-10-07,1986,10,7,UNK,1,1986-10-07,1.25,4.75,1986-10-07
1986-10-24,1986,10,24,UNK,1,1986-10-24,0.45825,2.0,1986-10-24
1986-10-27,1986,10,27,UNK,1,1986-10-27,2.91675,15.5,1986-10-27
1986-11-04,1986,11,4,ESD,1,1986-11-04,5.583375,66.875,1986-11-04
1987-03-02,1987,3,2,UNK,1,1987-03-02,0.833375,3.375,1987-03-02
1987-03-14,1987,3,14,ESD,1,1987-03-14,2.083375,7.875,1987-03-14
1988-09-09,1988,9,9,UNK,1,1988-09-09,1.04175,4.25,1988-09-09
1988-12-02,1988,12,2,SDC,1,1988-12-02,2.7085,15.0,1988-12-02
1994-01-20,1994,1,20,ECEMP,1,1994-01-20,2.916625,14.375,1994-01-20
1994-01-21,1994,1,21,ECEMP,1,1994-01-21,2.1248750000000003,9.0,1994-01-21
1981-06-19,1981,6,19,UNK,1,1981-06-19,2.2915,9.875,1981-06-19
1985-03-15,1985,3,15,UNK,1,1985-03-15,2.5835,13.625,1985-03-15
1985-05-07,1985,5,7,UNK,1,1985-05-07,1.791625,7.875,1985-05-07
1986-06-01,1986,6,1,UNK,1,1986-06-01,2.833375,14.875,1986-06-01
1985-06-27,1985,6,27,UNK,1,1985-06-27,2.666625,12.75,1985-06-27
1985-07-01,1985,7,1,UNK,1,1985-07-01,2.5415,13.625,1985-07-01
1987-11-09,1987,11,9,UNK,1,1987-11-09,1.95825,10.125,1987-11-09
1967-04-06,1967,4,6,UNK,1,1967-04-06,2.5,11.75,1967-04-06
1968-08-10,1968,8,10,UNK,1,1968-08-10,1.875,7.25,1968-08-10
1969-08-12,1969,8,12,UNK,1,1969-08-12,3.4998750000000003,20.75,1969-08-12
1985-08-27,1985,8,27,UNK,1,1985-08-27,2.8748750000000003,14.75,1985-08-27
1985-11-11,1985,11,11,SEU,1,1985-11-11,2.375,9.75,1985-11-11
1986-01-31,1986,1,31,ESD,1,1986-01-31,1.875,7.5,1986-01-31
1986-09-27,1986,9,27,ESD,1,1986-09-27,3.416625,20.125,1986-09-27
1986-09-28,1986,9,28,ESD,1,1986-09-28,2.5,13.0,1986-09-28
1986-10-01,1986,10,1,ESD,1,1986-10-01,1.75,7.25,1986-10-01
1987-07-18,1987,7,18,ESD,1,1987-07-18,2.45825,10.375,1987-07-18
1987-08-17,1987,8,17,ESD,1,1987-08-17,2.4998750000000003,11.25,1987-08-17
1988-02-17,1988,2,17,SEU,1,1988-02-17,2.666625,14.5,1988-02-17
1988-06-20,1988,6,20,ESD,1,1988-06-20,2.29175,12.625,1988-06-20
1988-07-15,1988,7,15,SEU,1,1988-07-15,2.45825,11.375,1988-07-15
1988-08-08,1988,8,8,SEU,1,1988-08-08,0.70825,3.0,1988-08-08
1988-08-18,1988,8,18,ESD,1,1988-08-18,2.083375,8.5,1988-08-18
1988-08-20,1988,8,20,ESD,1,1988-08-20,2.958375,17.0,1988-08-20
1988-08-26,1988,8,26,SEU,1,1988-08-26,2.125,8.75,1988-08-26
1988-09-15,1988,9,15,SEU,1,1988-09-15,2.5,11.75,1988-09-15
1989-06-25,1989,6,25,ESD,1,1989-06-25,1.9165,7.25,1989-06-25
1986-05-07,1986,5,7,ESD,1,1986-05-07,2.5,12.375,1986-05-07
1986-05-10,1986,5,10,ESD,1,1986-05-10,1.541625,6.375,1986-05-10
1986-06-02,1986,6,2,ESD,1,1986-06-02,2.083375,8.25,1986-06-02
1986-07-28,1986,7,28,ESD,1,1986-07-28,2.2498750000000003,8.875,1986-07-28
1986-08-01,1986,8,1,ESD,1,1986-08-01,1.54175,5.625,1986-08-01
1986-08-07,1986,8,7,ESD,1,1986-08-07,0.8748750000000001,3.75,1986-08-07
1986-08-30,1986,8,30,ESD,1,1986-08-30,3.79175,27.125,1986-08-30
1986-08-31,1986,8,31,ESD,1,1986-08-31,2.791625,16.5,1986-08-31
1986-10-20,1986,10,20,ESD,1,1986-10-20,2.833375,13.75,1986-10-20
1987-01-25,1987,1,25,ESD,1,1987-01-25,1.833375,7.125,1987-01-25
1987-05-20,1987,5,20,ESD,1,1987-05-20,1.041875,4.125,1987-05-20
1987-08-05,1987,8,5,ESD,1,1987-08-05,2.7081250000000003,12.75,1987-08-05
1987-08-16,1987,8,16,ESD,1,1987-08-16,2.6248750000000003,12.125,1987-08-16
1987-08-29,1987,8,29,ESD,1,1987-08-29,2.45825,12.375,1987-08-29
1987-09-13,1987,9,13,ESD,1,1987-09-13,3.458375,23.25,1987-09-13
1987-12-02,1987,12,2,ESD,1,1987-12-02,1.083375,4.25,1987-12-02
1988-03-12,1988,3,12,ESD,1,1988-03-12,2.166625,8.75,1988-03-12
1988-04-09,1988,4,9,ESD,1,1988-04-09,2.2498750000000003,10.375,1988-04-09
1988-07-02,1988,7,2,ESD,1,1988-07-02,2.375125,10.25,1988-07-02
1988-07-12,1988,7,12,SEU,1,1988-07-12,2.9998750000000003,15.0,1988-07-12
1988-07-20,1988,7,20,ESD,1,1988-07-20,0.750125,3.25,1988-07-20
1988-09-28,1988,9,28,SEU,1,1988-09-28,1.41675,5.25,1988-09-28
1988-11-23,1988,11,23,ESD,1,1988-11-23,0.583375,2.375,1988-11-23
1989-03-24,1989,3,24,ESD,1,1989-03-24,2.541625,15.875,1989-03-24
1989-04-09,1989,4,9,ESD,1,1989-04-09,2.916625,15.375,1989-04-09
1990-05-29,1990,5,29,ESD,1,1990-05-29,2.33325,9.625,1990-05-29
1990-09-24,1990,9,24,ESD,1,1990-09-24,2.666625,12.875,1990-09-24
1990-10-18,1990,10,18,ESD,1,1990-10-18,1.33325,5.0,1990-10-18
1987-10-01,1987,10,1,ESD,1,1987-10-01,2.70825,12.625,1987-10-01
1988-02-25,1988,2,25,SEU,1,1988-02-25,2.791625,13.75,1988-02-25
1988-07-26,1988,7,26,ESD,1,1988-07-26,3.083375,16.375,1988-07-26
1988-08-17,1988,8,17,ESD,1,1988-08-17,1.2085,4.625,1988-08-17
1988-09-08,1988,9,8,SEU,1,1988-09-08,1.5001250000000002,6.0,1988-09-08
