ADATE,Year,Month,Day,Anamolytype,Anamoly,Kp,ap,Date
1963-06-12,1963,6,12,NA,0,1.208375,4.625,1963-06-12
1963-06-13,1963,6,13,NA,0,1.416625,5.25,1963-06-13
1963-06-14,1963,6,14,NA,0,1.375,5.375,1963-06-14
1963-06-15,1963,6,15,NA,0,1.999875,8.75,1963-06-15
1963-06-16,1963,6,16,NA,0,0.624875,2.5,1963-06-16
1963-06-17,1963,6,17,NA,0,2.2915,9.125,1963-06-17
1963-06-18,1963,6,18,NA,0,3.291625,21.375,1963-06-18
1963-06-19,1963,6,19,NA,0,2.29175,10.5,1963-06-19
1963-06-20,1963,6,20,NA,0,2.625,12.625,1963-06-20
1963-06-21,1963,6,21,NA,0,1.7915,7.625,1963-06-21
1963-06-22,1963,6,22,NA,0,1.16675,4.5,1963-06-22
1963-06-23,1963,6,23,NA,0,0.875,3.625,1963-06-23
1963-06-24,1963,6,24,NA,0,1.58325,6.25,1963-06-24
1963-06-25,1963,6,25,NA,0,3.4998750000000003,23.375,1963-06-25
1963-06-26,1963,6,26,NA,0,3.5,26.125,1963-06-26
1963-06-27,1963,6,27,NA,0,2.958375,16.375,1963-06-27
1963-06-28,1963,6,28,NA,0,2.625,12.625,1963-06-28
1963-06-29,1963,6,29,NA,0,2.083125,9.25,1963-06-29
1963-06-30,1963,6,30,NA,0,2.541625,11.125,1963-06-30
1963-07-01,1963,7,1,NA,0,1.083375,4.625,1963-07-01
1963-07-02,1963,7,2,NA,0,0.666875,2.875,1963-07-02
1963-07-03,1963,7,3,NA,0,0.625,2.875,1963-07-03
1963-07-04,1963,7,4,NA,0,2.45825,13.625,1963-07-04
1963-07-05,1963,7,5,NA,0,3.083375,17.625,1963-07-05
1963-07-06,1963,7,6,NA,0,3.0,20.375,1963-07-06
1963-07-07,1963,7,7,NA,0,2.5,11.125,1963-07-07
1963-07-08,1963,7,8,NA,0,2.708375,13.0,1963-07-08
1963-07-09,1963,7,9,NA,0,2.916625,14.875,1963-07-09
1963-07-10,1963,7,10,NA,0,2.3335,9.875,1963-07-10
1963-07-11,1963,7,11,NA,0,1.541625,5.875,1963-07-11
1963-07-12,1963,7,12,NA,0,1.125125,4.375,1963-07-12
1963-07-13,1963,7,13,NA,0,1.20825,4.625,1963-07-13
1963-07-14,1963,7,14,NA,0,1.04175,4.25,1963-07-14
1963-07-15,1963,7,15,NA,0,1.0,4.0,1963-07-15
1963-07-16,1963,7,16,NA,0,1.749875,7.0,1963-07-16
1963-07-17,1963,7,17,NA,0,2.9998750000000003,15.875,1963-07-17
1963-07-18,1963,7,18,NA,0,2.20825,9.375,1963-07-18
1963-07-19,1963,7,19,NA,0,1.291625,4.875,1963-07-19
1963-07-20,1963,7,20,NA,0,1.500125,6.75,1963-07-20
1963-07-21,1963,7,21,NA,0,3.458125,25.625,1963-07-21
1963-07-22,1963,7,22,NA,0,2.708125,13.0,1963-07-22
1963-07-23,1963,7,23,NA,0,3.45825,22.375,1963-07-23
1963-07-24,1963,7,24,NA,0,4.041625,29.75,1963-07-24
1963-07-25,1963,7,25,NA,0,2.666625,12.875,1963-07-25
1963-07-26,1963,7,26,NA,0,2.833375,13.625,1963-07-26
1963-07-27,1963,7,27,NA,0,3.041625,16.375,1963-07-27
1963-07-28,1963,7,28,NA,0,1.45825,6.125,1963-07-28
1963-07-29,1963,7,29,NA,0,0.916625,4.0,1963-07-29
1963-07-30,1963,7,30,NA,0,3.833375,27.625,1963-07-30
1963-07-31,1963,7,31,NA,0,3.208375,18.5,1963-07-31
1963-08-01,1963,8,1,NA,0,3.166625,17.0,1963-08-01
1963-08-02,1963,8,2,NA,0,2.750125,14.625,1963-08-02
1963-08-03,1963,8,3,NA,0,2.083375,8.75,1963-08-03
1963-08-04,1963,8,4,NA,0,2.625,12.875,1963-08-04
1963-08-05,1963,8,5,NA,0,2.6248750000000003,12.375,1963-08-05
1963-08-06,1963,8,6,NA,0,2.45825,10.625,1963-08-06
1963-08-07,1963,8,7,NA,0,2.125125,9.5,1963-08-07
1963-08-08,1963,8,8,NA,0,1.54175,6.125,1963-08-08
1963-08-09,1963,8,9,NA,0,2.124875,8.625,1963-08-09
1963-08-10,1963,8,10,NA,0,1.54175,7.125,1963-08-10
1963-08-11,1963,8,11,NA,0,0.958375,3.875,1963-08-11
1963-08-12,1963,8,12,NA,0,1.125,4.375,1963-08-12
1963-08-13,1963,8,13,NA,0,0.58325,2.625,1963-08-13
1963-08-14,1963,8,14,NA,0,0.666625,3.0,1963-08-14
1963-08-15,1963,8,15,NA,0,1.58325,7.375,1963-08-15
